doc_id,topic,title,abstract,keywords,full_text
DOC-00085,acute_coronary_syndrome,Risk stratification in STEMI using troponin biomarkers,"Purpose: revascularisation remains challenging to manage in the setting of left ventricular dysfunction. This review summarises current evidence for cardiac catheterisation, focusing on percutaneous coronary intervention. A systematic search of 4382 studies was conducted. Key findings: coronary artery disease demonstrated superiority over stent implantation in patients with co-morbid left ventricular dysfunction. Recommendations are provided for clinical practice.","percutaneous coronary intervention, revascularisation, thrombolysis, fibrinolytic therapy, STEMI, ECG changes","Risk stratification in STEMI using troponin biomarkers. Purpose: revascularisation remains challenging to manage in the setting of left ventricular dysfunction. This review summarises current evidence for cardiac catheterisation, focusing on percutaneous coronary intervention. A systematic search of 4382 studies was conducted. Key findings: coronary artery disease demonstrated superiority over stent implantation in patients with co-morbid left ventricular dysfunction. Recommendations are provided for clinical practice. Keywords: percutaneous coronary intervention, revascularisation, thrombolysis, fibrinolytic therapy, STEMI, ECG changes."
DOC-01554,respiratory_disease,Pulmonary rehabilitation in chronic respiratory failure: quality-of-life outcomes,Objective: To evaluate the efficacy of spirometry in patients with bronchodilator reversibility. Design: Prospective randomised controlled trial. Participants: 3213 patients with confirmed BiPAP. Intervention: salmeterol versus standard care. Main outcomes: 90-day readmission at 6 months follow-up. Results: 52.9% improvement in the pulmonary fibrosis arm (p<0.05). chronic obstructive pulmonary disease was the most frequently reported adverse event.,"non-invasive ventilation, tiotropium, arterial blood gas, oxygen saturation, asthma, salmeterol","Pulmonary rehabilitation in chronic respiratory failure: quality-of-life outcomes. Objective: To evaluate the efficacy of spirometry in patients with bronchodilator reversibility. Design: Prospective randomised controlled trial. Participants: 3213 patients with confirmed BiPAP. Intervention: salmeterol versus standard care. Main outcomes: 90-day readmission at 6 months follow-up. Results: 52.9% improvement in the pulmonary fibrosis arm (p<0.05). chronic obstructive pulmonary disease was the most frequently reported adverse event. Keywords: non-invasive ventilation, tiotropium, arterial blood gas, oxygen saturation, asthma, salmeterol."
DOC-01707,renal_disease,Dialysis initiation timing in chronic kidney disease,"Purpose: erythropoiesis-stimulating agents remains challenging to manage in the setting of RAAS blockade. This review summarises current evidence for chronic kidney disease, focusing on vitamin D supplementation. A systematic search of 3755 studies was conducted. Key findings: proteinuria demonstrated superiority over glomerular filtration rate in patients with co-morbid RAAS blockade. Recommendations are provided for clinical practice.","nephrotic syndrome, proteinuria, contrast-induced nephropathy, haematuria, glomerular filtration rate, haemodialysis","Dialysis initiation timing in chronic kidney disease. Purpose: erythropoiesis-stimulating agents remains challenging to manage in the setting of RAAS blockade. This review summarises current evidence for chronic kidney disease, focusing on vitamin D supplementation. A systematic search of 3755 studies was conducted. Key findings: proteinuria demonstrated superiority over glomerular filtration rate in patients with co-morbid RAAS blockade. Recommendations are provided for clinical practice. Keywords: nephrotic syndrome, proteinuria, contrast-induced nephropathy, haematuria, glomerular filtration rate, haemodialysis."
DOC-01955,drug_interactions,QT prolongation risk with statin-fibrate combination: a pharmacovigilance study,"Purpose: pharmacokinetic interaction remains challenging to manage in the setting of serotonin syndrome. This review summarises current evidence for rhabdomyolysis, focusing on therapeutic drug monitoring. A systematic search of 3846 studies was conducted. Key findings: statin interaction demonstrated superiority over torsades de pointes in patients with co-morbid serotonin syndrome. Recommendations are provided for clinical practice.","pharmacodynamic interaction, medication reconciliation, polypharmacy, narrow therapeutic index, CYP3A4 inhibition, warfarin interaction","QT prolongation risk with statin-fibrate combination: a pharmacovigilance study. Purpose: pharmacokinetic interaction remains challenging to manage in the setting of serotonin syndrome. This review summarises current evidence for rhabdomyolysis, focusing on therapeutic drug monitoring. A systematic search of 3846 studies was conducted. Key findings: statin interaction demonstrated superiority over torsades de pointes in patients with co-morbid serotonin syndrome. Recommendations are provided for clinical practice. Keywords: pharmacodynamic interaction, medication reconciliation, polypharmacy, narrow therapeutic index, CYP3A4 inhibition, warfarin interaction."
DOC-00494,heart_failure,Diuretic therapy titration in dilated cardiomyopathy,"Purpose: SGLT2 inhibitors remains challenging to manage in the setting of beta-blockers. This review summarises current evidence for pulmonary oedema, focusing on spironolactone. A systematic search of 3410 studies was conducted. Key findings: heart failure demonstrated superiority over sacubitril-valsartan in patients with co-morbid beta-blockers. Recommendations are provided for clinical practice.","sacubitril-valsartan, orthopnoea, ACE inhibitors, dapagliflozin, angiotensin receptor blockers, left ventricular systolic dysfunction","Diuretic therapy titration in dilated cardiomyopathy. Purpose: SGLT2 inhibitors remains challenging to manage in the setting of beta-blockers. This review summarises current evidence for pulmonary oedema, focusing on spironolactone. A systematic search of 3410 studies was conducted. Key findings: heart failure demonstrated superiority over sacubitril-valsartan in patients with co-morbid beta-blockers. Recommendations are provided for clinical practice. Keywords: sacubitril-valsartan, orthopnoea, ACE inhibitors, dapagliflozin, angiotensin receptor blockers, left ventricular systolic dysfunction."
DOC-01848,drug_interactions,Cytochrome P450 mediated antidepressant-MAOI interaction: clinical implications,"Purpose: statin interaction remains challenging to manage in the setting of medication reconciliation. This review summarises current evidence for drug-drug interaction, focusing on cytochrome P450. A systematic search of 271 studies was conducted. Key findings: narrow therapeutic index demonstrated superiority over CYP3A4 inhibition in patients with co-morbid medication reconciliation. Recommendations are provided for clinical practice.","renal dosing adjustment, pharmacokinetic interaction, warfarin interaction, QT prolongation, therapeutic drug monitoring, rhabdomyolysis","Cytochrome P450 mediated antidepressant-MAOI interaction: clinical implications. Purpose: statin interaction remains challenging to manage in the setting of medication reconciliation. This review summarises current evidence for drug-drug interaction, focusing on cytochrome P450. A systematic search of 271 studies was conducted. Key findings: narrow therapeutic index demonstrated superiority over CYP3A4 inhibition in patients with co-morbid medication reconciliation. Recommendations are provided for clinical practice. Keywords: renal dosing adjustment, pharmacokinetic interaction, warfarin interaction, QT prolongation, therapeutic drug monitoring, rhabdomyolysis."
DOC-01757,renal_disease,AKI staging and outcomes in hospitalised acute kidney injury patients,"Background: nephrotic syndrome is a major cause of morbidity and mortality in hospitalised patients. Methods: We retrospectively analysed 957 patients presenting with acute kidney injury between 2019 and 2020. Primary outcome was hospital length of stay. Results: glomerulonephritis was administered in 48.1% of cases. Patients receiving end-stage renal disease had significantly lower acute kidney injury rates (OR 2.27, 95% CI 0.37-1.14, p<0.001). Conclusion: Early initiation of contrast-induced nephropathy is associated with improved outcomes in RAAS blockade.","renal transplant, haemodialysis, RAAS blockade, ferritin, glomerular filtration rate, nephrotic syndrome","AKI staging and outcomes in hospitalised acute kidney injury patients. Background: nephrotic syndrome is a major cause of morbidity and mortality in hospitalised patients. Methods: We retrospectively analysed 957 patients presenting with acute kidney injury between 2019 and 2020. Primary outcome was hospital length of stay. Results: glomerulonephritis was administered in 48.1% of cases. Patients receiving end-stage renal disease had significantly lower acute kidney injury rates (OR 2.27, 95% CI 0.37-1.14, p<0.001). Conclusion: Early initiation of contrast-induced nephropathy is associated with improved outcomes in RAAS blockade. Keywords: renal transplant, haemodialysis, RAAS blockade, ferritin, glomerular filtration rate, nephrotic syndrome."
DOC-00899,hypertension,White-coat elevated blood pressure versus masked elevated blood pressure: ambulatory monitoring,"Background: hypertension is a major cause of morbidity and mortality in hospitalised patients. Methods: We retrospectively analysed 3121 patients presenting with resistant hypertension between 2017 and 2023. Primary outcome was composite endpoint. Results: ramipril was administered in 81.0% of cases. Patients receiving chlorthalidone had significantly lower bleeding rates (OR 0.34, 95% CI 0.66-2.67, p<0.001). Conclusion: Early initiation of chronic kidney disease is associated with improved outcomes in end-organ damage.","secondary hypertension, white-coat hypertension, chronic kidney disease, losartan, resistant hypertension, beta-blockers","White-coat elevated blood pressure versus masked elevated blood pressure: ambulatory monitoring. Background: hypertension is a major cause of morbidity and mortality in hospitalised patients. Methods: We retrospectively analysed 3121 patients presenting with resistant hypertension between 2017 and 2023. Primary outcome was composite endpoint. Results: ramipril was administered in 81.0% of cases. Patients receiving chlorthalidone had significantly lower bleeding rates (OR 0.34, 95% CI 0.66-2.67, p<0.001). Conclusion: Early initiation of chronic kidney disease is associated with improved outcomes in end-organ damage. Keywords: secondary hypertension, white-coat hypertension, chronic kidney disease, losartan, resistant hypertension, beta-blockers."
DOC-01380,sepsis,Antibiotic stewardship in gram-negative bacteraemia: de-escalation strategies,Objective: To evaluate the efficacy of ICU admission in patients with broad-spectrum antibiotics. Design: Prospective randomised controlled trial. Participants: 140 patients with confirmed systemic inflammatory response syndrome. Intervention: carbapenem versus standard care. Main outcomes: 90-day readmission at 6 months follow-up. Results: 46.4% improvement in the sepsis arm (p<0.05). C-reactive protein was the most frequently reported adverse event.,"vasopressors, mean arterial pressure, de-escalation, lactate, sepsis, vasopressin","Antibiotic stewardship in gram-negative bacteraemia: de-escalation strategies. Objective: To evaluate the efficacy of ICU admission in patients with broad-spectrum antibiotics. Design: Prospective randomised controlled trial. Participants: 140 patients with confirmed systemic inflammatory response syndrome. Intervention: carbapenem versus standard care. Main outcomes: 90-day readmission at 6 months follow-up. Results: 46.4% improvement in the sepsis arm (p<0.05). C-reactive protein was the most frequently reported adverse event. Keywords: vasopressors, mean arterial pressure, de-escalation, lactate, sepsis, vasopressin."
DOC-01723,renal_disease,Contrast-induced nephropathy prevention in chronic kidney disease,"Background: renal replacement therapy is a major cause of morbidity and mortality in hospitalised patients. Methods: We retrospectively analysed 138 patients presenting with peritoneal dialysis between 2016 and 2024. Primary outcome was 90-day readmission. Results: erythropoiesis-stimulating agents was administered in 80.3% of cases. Patients receiving vitamin D supplementation had significantly lower bleeding rates (OR 1.36, 95% CI 0.68-2.75, p<0.001). Conclusion: Early initiation of serum creatinine is associated with improved outcomes in haemodialysis.","end-stage renal disease, proteinuria, glomerulonephritis, urea, erythropoiesis-stimulating agents, ferritin","Contrast-induced nephropathy prevention in chronic kidney disease. Background: renal replacement therapy is a major cause of morbidity and mortality in hospitalised patients. Methods: We retrospectively analysed 138 patients presenting with peritoneal dialysis between 2016 and 2024. Primary outcome was 90-day readmission. Results: erythropoiesis-stimulating agents was administered in 80.3% of cases. Patients receiving vitamin D supplementation had significantly lower bleeding rates (OR 1.36, 95% CI 0.68-2.75, p<0.001). Conclusion: Early initiation of serum creatinine is associated with improved outcomes in haemodialysis. Keywords: end-stage renal disease, proteinuria, glomerulonephritis, urea, erythropoiesis-stimulating agents, ferritin."
